#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       452               13.52             12.0712            0.551472
       453               13.52             12.0743            0.550264
       454               15.68             12.0823            0.549109
       455               25.92             12.1127            0.548744
       456                  18             12.1256            0.547692
       457               35.28             12.1763            0.548832
       458                  32             12.2196            0.549338
       459                  32             12.2627            0.549829
       460                  18             12.2751            0.548775
       461               13.52             12.2778            0.547591
       462                  18             12.2902            0.546546
       463               13.52             12.2929            0.545372
       464                9.68             12.2872            0.544226
       465                9.68             12.2816            0.543084
       466                2.88             12.2615            0.542294
       467                   8             12.2523            0.541209
       468                   2             12.2304            0.540496
       469                5.12             12.2153            0.539556
       470               11.52             12.2138             0.53841
       471                5.12             12.1987            0.537478
       472                5.12             12.1837            0.536548
       473               11.52             12.1823            0.535416
       474                9.68              12.177            0.534312
       475                9.68             12.1718            0.533213
       476                   8              12.163            0.532165
       477                6.48             12.1511            0.531182
       478                5.12             12.1364            0.530275
       479                6.48             12.1246            0.529299
       480                1.28              12.102            0.528679
       481                0.32             12.0775            0.528147
       482                0.32             12.0531            0.527614
       483                0.72             12.0296            0.527043
       484                0.08              12.005            0.526532
       485                0.72             11.9817             0.52596
       486                0.08             11.9572            0.525448
       487                1.28             11.9353            0.524826
       488                   8             11.9272            0.523813
       489               20.48             11.9447            0.523033
       490               11.52             11.9438            0.521967
       491               15.68             11.9514            0.520959
       492               11.52             11.9506            0.519901
       493                9.68              11.946            0.518867
       494                5.12             11.9321               0.518
       495                   8             11.9242            0.517015
       496                5.12             11.9105            0.516154
       497                0.72              11.888            0.515607
       498                0.08             11.8643            0.515116
       499                0.32             11.8411            0.514603
       500                0.08             11.8176            0.514111
       501                0.08             11.7942            0.513619
       502                1.28             11.7732            0.513022
       503                0.72             11.7513            0.512473
       504                0.32             11.7286            0.511958
       505                0.08             11.7055            0.511463
       506                0.32              11.683            0.510947
       507                0.32             11.6606            0.510431
       508                0.08             11.6378            0.509935
       509                0.08             11.6151            0.509438
       510                3.92                11.6            0.508663
       511                1.28             11.5798            0.508068
       512                2.88             11.5628             0.50736
       513                2.88             11.5459            0.506653
       514                0.08             11.5236            0.506158
       515                1.28             11.5037            0.505566
       516                   2             11.4853            0.504922
       517                3.92             11.4706            0.504157
       518                1.28              11.451            0.503567
       519                0.32             11.4295            0.503054
       520                   0             11.4075            0.502566
       521                1.28             11.3881            0.501977
       522                0.08             11.3664            0.501483
       523                0.08             11.3449            0.500988
       524                3.92             11.3307            0.500232
       525                   2             11.3129            0.499595
       526                0.72             11.2928            0.499051
       527                   2             11.2751            0.498416
       528               11.52             11.2756            0.497472
       529               13.52             11.2798             0.49655
       530               11.52             11.2803            0.495613
       531                0.72             11.2604            0.495078
       532                1.28             11.2417            0.494503
       533                5.12             11.2302            0.493709
       534                  18             11.2428            0.492947
       535               15.68             11.2511            0.492095
       536                  18             11.2637            0.491338
       537               25.92              11.291            0.491181
       538               23.12              11.313             0.49076
       539                  32             11.3514            0.491348
       540               38.72             11.4021            0.493045
       541               35.28             11.4462            0.494105
       542               35.28             11.4902            0.495146
       543               23.12             11.5116            0.494697
       544               15.68             11.5193            0.493847
       545                5.12             11.5075            0.493081
       546               11.52             11.5075            0.492178
       547                9.68             11.5042            0.491289
       548                0.72             11.4845            0.490787
       549                0.08             11.4638            0.490332
       550                   2             11.4465            0.489742
       551                0.32             11.4264             0.48927
       552                0.08             11.4058            0.488815
       553                0.08             11.3853             0.48836
       554                   2             11.3684            0.487772
       555                0.08              11.348            0.487317
       556                0.72             11.3289            0.486815
       557                0.72             11.3099            0.486314
       558                0.08             11.2897            0.485859
       559                3.92             11.2766            0.485168
       560                5.12             11.2656            0.484426
       561               13.52             11.2696             0.48358
       562                9.68             11.2668            0.482727
       563                   8              11.261            0.481905
       564               15.68             11.2688            0.481114
       565                6.48             11.2603            0.480337
       566                5.12             11.2495            0.479611
       567                3.92             11.2365            0.478939
       568                6.48             11.2282            0.478169
       569                9.68             11.2254            0.477337
       570               13.52             11.2295            0.476516
       571               23.12             11.2503            0.476137
       572               35.28             11.2923            0.477154
       573               42.32             11.3465            0.479384
       574               42.32             11.4004            0.481576
       575               38.72             11.4479            0.483077
       576               35.28             11.4893            0.484007
       577               28.88             11.5194            0.484105
       578               23.12             11.5395            0.483684
       579                9.68             11.5363            0.482859
       580                   2             11.5199            0.482306
       581                0.32             11.5006            0.481861
       582                   0             11.4808            0.481438
       583                0.32             11.4617            0.480993
       584                   0             11.4421             0.48057
       585                   0             11.4225            0.480146
       586                   2             11.4064            0.479596
       587                0.08             11.3871            0.479167
       588                   0             11.3678            0.478743
       589                   2             11.3519            0.478194
       590                0.32             11.3332            0.477749
       591                0.72             11.3152            0.477278
       592                3.92             11.3027            0.476635
       593                5.12             11.2923            0.475946
       594                2.88             11.2781            0.475355
       595                   2             11.2625            0.474812
       596                0.72             11.2448            0.474345
       597                0.08             11.2261            0.473919
       598                   2             11.2107            0.473377
       599               11.52             11.2112            0.472587
       600               23.12             11.2311            0.472216
       601                9.68             11.2285            0.471437
       602                3.92             11.2163            0.470811
       603                1.28             11.1999            0.470318
       604                2.88             11.1861            0.469741
       605                6.48             11.1783            0.469029
       606                6.48             11.1706            0.468319
       607                5.12             11.1606            0.467654
       608                5.12             11.1507             0.46699
       609                5.12             11.1408            0.466328
       610                3.92             11.1289            0.465714
       611                9.68             11.1265            0.464958
       612               11.52             11.1272            0.464198
       613                   8             11.1221            0.463469
       614                9.68             11.1197             0.46272
       615                  18             11.1309            0.462103
       616               20.48             11.1461            0.461602
       617               25.92               11.17            0.461475
       618               13.52             11.1739            0.460744
       619                6.48             11.1663            0.460062
       620                2.88             11.1529            0.459514
       621                   2             11.1382             0.45901
       622                0.72             11.1214            0.458578
       623                0.32             11.1041            0.458169
       624               11.52             11.1047            0.457435
       625                6.48             11.0973            0.456763
       626                0.72             11.0808            0.456334
       627                2.88             11.0677            0.455794
       628                0.08             11.0502            0.455404
       629                0.72             11.0338            0.454976
       630                5.12             11.0244            0.454351
       631                   8             11.0196            0.453656
       632                3.92             11.0084            0.453077
       633                2.88             10.9955            0.452543
       634                0.08             10.9783            0.452157
