#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       468                5.12             7.48855            0.478545
       469                1.28             7.47531            0.477708
       470                0.32             7.46009            0.476934
       471                5.12             7.45512            0.475947
       472                1.28             7.44203            0.475119
       473                2.88             7.43239            0.474212
       474                   2             7.42093             0.47335
       475                2.88             7.41137             0.47245
       476                   2                 7.4            0.471594
       477                   2             7.38868            0.470742
       478                   8             7.38996            0.469759
       479                5.12             7.38522            0.468802
       480                5.12              7.3805            0.467849
       481                5.12              7.3758              0.4669
       482                1.28             7.36315            0.466102
       483                   2             7.35205             0.46527
       484                0.08             7.33702            0.464551
       485                0.72             7.32338            0.463793
       486                1.28             7.31095            0.463006
       487                   0             7.29593            0.462298
       488                0.08             7.28115            0.461587
       489                0.08             7.26642            0.460878
       490                   2             7.25567            0.460063
       491                2.88             7.24676            0.459212
       492                   2              7.2361            0.458403
       493                   2             7.22548            0.457596
       494                0.32              7.2115            0.456883
       495                   0             7.19693            0.456192
       496                   0             7.18242            0.455503
       497                   0             7.16797            0.454816
       498                0.72             7.15502            0.454087
       499                1.28             7.14325             0.45333
       500                0.32              7.1296            0.452628
       501                0.08             7.11553            0.451943
       502                0.08             7.10151             0.45126
       503                0.08             7.08755            0.450579
       504                0.08             7.07365              0.4499
       505                1.28             7.06218            0.449155
       506                1.28             7.05075            0.448413
       507                0.72             7.03826            0.447702
       508                1.28             7.02693            0.446964
       509                0.32             7.01375             0.44628
       510                0.72             7.00141            0.445576
       511                0.08             6.98787             0.44491
       512                0.32             6.97484            0.444231
       513                0.32             6.96187            0.443555
       514                0.32             6.94895             0.44288
       515                1.28             6.93794            0.442157
       516                   8                6.94            0.441305
       517                3.92             6.93416             0.44049
       518                0.08             6.92093            0.439838
       519                0.32             6.90821            0.439174
       520                0.08             6.89508            0.438526
       521                2.88             6.88737            0.437752
       522                   8              6.8895            0.436919
       523               11.52             6.89836            0.436173
       524               13.52             6.91099            0.435524
       525               15.68              6.9277            0.435014
       526               15.68             6.94433            0.434505
       527               13.52             6.95681             0.43386
       528               11.52             6.96545            0.433124
       529                   8             6.96741             0.43231
       530                6.48             6.96649            0.431495
