#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         209     -0.6816   -0.781772  0.00723942
         210     -0.6848    -0.78131  0.00721966
         211     -0.6816   -0.780838  0.00720089
         212     -0.6008   -0.779989  0.00721683
         213     -0.6824   -0.779531  0.00719748
         214     -0.6792   -0.779062   0.0071791
         215      -0.676   -0.778582  0.00716169
         216      -0.832    -0.77883  0.00713281
         217     -0.7528    -0.77871  0.00710094
         218     -0.7536   -0.778594  0.00706931
         219     -0.7536    -0.77848  0.00703795
         220     -0.6728      -0.778  0.00702233
         221     -0.6704   -0.777513  0.00700741
         222     -0.8296   -0.777748  0.00697977
         223     -0.7512   -0.777629  0.00694949
         224     -0.7504   -0.777507  0.00691953
         225      -0.592   -0.776683  0.00693772
         226     -0.5952    -0.77588  0.00695334
         227     -0.6768   -0.775443   0.0069364
         228     -0.7552   -0.775354  0.00690654
         229      -0.676   -0.774921     0.00689
         230     -0.6728   -0.774477  0.00687433
         231      -0.672   -0.774033  0.00685887
         232     -0.6704   -0.773586  0.00684384
         233     -0.6704   -0.773143  0.00682878
         234      -0.748   -0.773036  0.00680044
         235     -0.7472   -0.772926  0.00677239
         236     -0.7472   -0.772817  0.00674457
         237      -0.748   -0.772712  0.00671693
         238     -0.7512   -0.772622  0.00668931
         239     -0.6704   -0.772194  0.00667498
         240     -0.7488   -0.772097  0.00664788
         241     -0.6696   -0.771671  0.00663389
         242     -0.7512   -0.771587  0.00660701
         243     -0.7512   -0.771503  0.00658036
         244     -0.7568   -0.771443  0.00655366
         245     -0.8328   -0.771693   0.0065317
         246     -0.8304   -0.771932   0.0065095
         247      -0.908   -0.772483  0.00650642
         248     -0.9088   -0.773032  0.00650336
         249     -0.9072   -0.773571  0.00649953
         250     -0.8264   -0.773782  0.00647696
         251     -0.9064   -0.774311  0.00647267
         252     -0.9056   -0.774832  0.00646792
         253     -0.9064   -0.775352  0.00646323
         254     -0.9056   -0.775865  0.00645809
         255      -0.828   -0.776069    0.006436
         256     -0.9088   -0.776587  0.00643171
         257     -0.8312     -0.7768  0.00641019
         258     -0.7536    -0.77671  0.00638598
         259     -0.8344   -0.776933  0.00636521
         260     -0.8328   -0.777148  0.00634435
         261     -0.8352    -0.77737  0.00632394
         262     -0.7568   -0.777292  0.00630029
         263     -0.7616   -0.777232  0.00627662
         264     -0.7624   -0.777176  0.00625309
         265     -0.6848   -0.776827  0.00623921
         266     -0.6016   -0.776168  0.00625043
         267       -0.68   -0.775808  0.00623739
         268     -0.6016   -0.775158  0.00624789
         269     -0.7608   -0.775105   0.0062249
         270     -0.7568   -0.775037  0.00620221
         271     -0.8352   -0.775259   0.0061833
         272      -0.836   -0.775482  0.00616459
         273       -0.84   -0.775719  0.00614654
         274     -0.8352   -0.775936  0.00612794
         275      -0.756   -0.775863  0.00610609
         276     -0.8344   -0.776075  0.00608764
         277     -0.8328    -0.77628  0.00606911
         278     -0.8328   -0.776483  0.00605068
         279     -0.8344   -0.776691  0.00603256
         280     -0.7536   -0.776609  0.00601158
         281      -0.756   -0.776535  0.00599063
         282     -0.9176   -0.777035  0.00599024
         283     -0.9168   -0.777529  0.00598939
         284     -0.9168    -0.77802  0.00598834
         285     -0.9168   -0.778507   0.0059871
         286     -0.9176   -0.778993  0.00598589
         287     -0.9176   -0.779476  0.00598448
         288     -0.9192   -0.779961  0.00598333
         289     -0.9184    -0.78044  0.00598177
         290     -0.8416   -0.780651  0.00596486
         291     -0.8424   -0.780863  0.00594814
         292     -0.6008   -0.780247  0.00595965
         293     -0.8416   -0.780456  0.00594299
         294     -0.7632   -0.780397  0.00592306
         295     -0.6848   -0.780073  0.00591184
         296     -0.7648   -0.780022  0.00589209
         297     -0.7664   -0.779976  0.00587243
         298     -0.7664    -0.77993   0.0058529
         299     -0.7688   -0.779893  0.00583345
         300     -0.7696   -0.779859   0.0058141
         301      -0.688   -0.779553  0.00580279
         302     -0.6872   -0.779248  0.00579163
         303     -0.6888   -0.778949   0.0057802
         304     -0.7704   -0.778921  0.00576126
         305     -0.7696    -0.77889  0.00574245
         306     -0.8496   -0.779122  0.00572833
         307     -0.7672   -0.779083   0.0057098
         308     -0.8472   -0.779304  0.00569555
         309     -0.8504   -0.779534  0.00568176
         310     -0.8496    -0.77976  0.00566792
         311     -0.7672    -0.77972  0.00564984
         312      -0.768   -0.779682  0.00563186
         313     -0.7696    -0.77965  0.00561396
         314     -0.7672    -0.77961  0.00559622
         315     -0.7656   -0.779566  0.00557863
         316      -0.768   -0.779529   0.0055611
         317     -0.7656   -0.779485  0.00554373
         318     -0.8472   -0.779698  0.00553038
         319     -0.8496   -0.779917  0.00551739
         320     -0.8504   -0.780137  0.00550454
         321      -0.848   -0.780349  0.00549145
         322     -0.7656   -0.780303  0.00547459
         323     -0.7648   -0.780255  0.00545785
         324     -0.7632   -0.780202  0.00544126
         325     -0.7632    -0.78015  0.00542476
         326     -0.7608   -0.780091  0.00540845
         327     -0.7592   -0.780027  0.00539229
         328     -0.8424   -0.780217   0.0053792
         329     -0.7608   -0.780158  0.00536317
         330     -0.7592   -0.780095   0.0053473
         331     -0.7584   -0.780029  0.00533154
         332     -0.7584   -0.779964  0.00531588
         333     -0.7568   -0.779894  0.00530037
         334      -0.756   -0.779823  0.00528499
         335     -0.6768   -0.779515  0.00527815
         336     -0.7568   -0.779448  0.00526288
         337     -0.6792    -0.77915  0.00525566
         338       -0.68   -0.778857  0.00524829
         339     -0.6808   -0.778568  0.00524077
         340     -0.6832   -0.778287  0.00523286
         341     -0.6848   -0.778013  0.00522469
         342     -0.6848    -0.77774  0.00521652
         343     -0.6856   -0.777472  0.00520822
         344     -0.6824   -0.777195  0.00520041
         345      -0.684   -0.776925  0.00519235
         346       -0.68   -0.776645  0.00518489
         347     -0.6808   -0.776369   0.0051773
         348     -0.6008   -0.775864  0.00518695
         349     -0.6808   -0.775592  0.00517923
         350     -0.6824   -0.775326  0.00517127
         351     -0.7632   -0.775291  0.00515666
         352      -0.844   -0.775486   0.0051457
         353     -0.8432   -0.775678   0.0051347
         354     -0.7608   -0.775636  0.00512036
         355     -0.6824   -0.775374  0.00511267
         356       -0.76    -0.77533  0.00509849
         357     -0.7648   -0.775301   0.0050843
         358     -0.6824   -0.775041  0.00507671
         359     -0.8416   -0.775227  0.00506595
         360     -0.8408   -0.775409  0.00505516
         361     -0.8368   -0.775579  0.00504401
         362     -0.7568   -0.775527  0.00503035
         363     -0.7528   -0.775464  0.00501688
         364     -0.7536   -0.775404  0.00500345
         365     -0.5968   -0.774915  0.00501362
         366     -0.5976   -0.774431  0.00502327
         367     -0.6768   -0.774165  0.00501662
         368     -0.7536   -0.774109   0.0050033
         369     -0.6744   -0.773838  0.00499703
         370     -0.6728   -0.773565  0.00499098
         371      -0.832   -0.773723  0.00498002
         372      -0.836    -0.77389  0.00496944
         373     -0.8368   -0.774059  0.00495898
         374      -0.836   -0.774225  0.00494849
         375     -0.7552   -0.774174  0.00493555
         376     -0.7552   -0.774123  0.00492268
