#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       316                 0.4            0.191646           0.0227335
       317                0.28            0.191924           0.0226635
       318                0.36            0.192453           0.0225984
       319                0.48            0.193354           0.0225455
       320                0.52            0.194375           0.0224981
       321                 0.4            0.195016           0.0224372
       322                0.28             0.19528           0.0223691
       323                0.24            0.195418           0.0223002
       324                0.16            0.195309           0.0222317
       325                0.16              0.1952           0.0221635
       326                0.04            0.194724           0.0221007
       327               -0.04            0.194006           0.0220447
       328                0.12             0.19378           0.0219787
       329                0.04            0.193313           0.0219168
       330               -0.04            0.192606           0.0218618
       331               -0.08            0.191782           0.0218113
       332               -0.08            0.190964           0.0217609
       333               -0.16             0.18991           0.0217211
       334                -0.2            0.188743           0.0216874
       335               -0.16            0.187701           0.0216476
       336               -0.16            0.186667           0.0216079
       337               -0.04            0.185994           0.0215543
       338                   0            0.185444           0.0214975
       339                0.04            0.185015           0.0214384
       340                0.16            0.184941           0.0213755
       341                0.24            0.185103           0.0213134
       342                0.24            0.185263           0.0212517
       343                0.28            0.185539           0.0211915
       344                0.12            0.185349           0.0211308
       345                 0.2            0.185391           0.0210696
       346                   0            0.184855           0.0210155
       347                0.04            0.184438           0.0209591
       348                0.04            0.184023           0.0209029
       349                0.04             0.18361           0.0208471
       350                0.12            0.183429           0.0207884
       351                0.16            0.183362           0.0207292
       352                 0.2            0.183409           0.0206704
       353                0.16            0.183343            0.020612
       354                0.04            0.182938           0.0205577
       355                0.12            0.182761           0.0205006
       356                   0            0.182247           0.0204494
       357                0.24            0.182409           0.0203928
       358                0.12            0.182235           0.0203365
       359                0.08             0.18195           0.0202819
       360                0.04            0.181556           0.0202294
       361               -0.16            0.180609           0.0201955
       362               -0.16            0.179669           0.0201616
       363               -0.36            0.178182           0.0201608
       364               -0.32            0.176813           0.0201518
       365               -0.16             0.17589           0.0201177
       366               -0.12            0.175082            0.020079
       367               -0.16            0.174169            0.020045
       368               -0.32            0.172826           0.0200355
       369               -0.28            0.171599           0.0200187
       370               -0.36            0.170162           0.0200161
       371                -0.4            0.168625           0.0200211
       372                -0.2            0.167634           0.0199917
       373               -0.16            0.166756           0.0199574
       374                -0.2            0.165775           0.0199282
       375               -0.24            0.164693           0.0199044
       376               -0.24            0.163617           0.0198805
       377               -0.16            0.162759           0.0198463
       378               -0.16            0.161905           0.0198122
       379               -0.08            0.161266           0.0197702
       380               -0.32                0.16           0.0197587
       381               -0.36            0.158635           0.0197539
       382               -0.36            0.157277           0.0197488
       383               -0.44            0.155718           0.0197587
       384               -0.44            0.154167            0.019768
       385               -0.32            0.152935            0.019755
       386               -0.48            0.151295           0.0197718
       387               -0.16            0.150491            0.019737
       388                   0            0.150103             0.01969
       389                0.16            0.150129           0.0196394
       390                0.16            0.150154            0.019589
       391                0.16            0.150179            0.019539
       392                0.12            0.150102           0.0194893
       393                0.04            0.149822           0.0194417
       394                0.08            0.149645           0.0193931
       395                0.12             0.14957           0.0193442
       396                 0.2            0.149697           0.0192958
       397                 0.2            0.149824           0.0192476
       398                0.08            0.149648              0.0192
       399                0.16            0.149674           0.0191519
       400                0.44              0.1504           0.0191178
       401                0.32            0.150823           0.0190748
       402                0.36            0.151343           0.0190344
       403                 0.4             0.15196           0.0189972
       404                0.36            0.152475           0.0189572
       405                0.36            0.152988           0.0189173
       406                0.24            0.153202           0.0188719
       407                0.08            0.153022           0.0188264
       408                   0            0.152647            0.018784
       409                0.04            0.152372           0.0187401
       410                0.24            0.152585           0.0186956
       411                0.28            0.152895           0.0186527
       412                0.36            0.153398           0.0186142
       413                0.12            0.153317           0.0185693
