#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         329    -4.90058    -4.95161    0.017897
         330    -4.73775    -4.95096   0.0178545
         331    -4.79578    -4.95049   0.0178068
         332    -4.81966     -4.9501   0.0177575
         333    -4.91604    -4.94999   0.0177044
         334    -5.00133    -4.95015   0.0176521
         335    -4.98815    -4.95026   0.0175998
         336    -4.89271    -4.95009   0.0175482
         337    -4.95605    -4.95011   0.0174962
         338    -4.92482    -4.95003   0.0174446
         339    -4.80892    -4.94962   0.0173981
         340    -4.67763    -4.94882   0.0173653
         341    -4.70386     -4.9481   0.0173292
         342    -4.70702    -4.94739   0.0172929
         343    -4.59247    -4.94636   0.0172734
         344    -4.59461    -4.94534   0.0172534
         345    -4.61347    -4.94437   0.0172302
         346     -4.5373     -4.9432   0.0172205
         347    -4.64207    -4.94233   0.0171927
         348    -4.79473    -4.94191   0.0171486
         349    -4.56993    -4.94084   0.0171325
         350    -4.63327    -4.93996   0.0171061
         351    -4.59181    -4.93897   0.0170861
         352    -4.46753    -4.93763     0.01709
         353    -4.56848    -4.93658   0.0170735
         354    -4.69273     -4.9359   0.0170392
         355    -4.68767     -4.9352   0.0170055
         356     -4.7389    -4.93465   0.0169667
         357    -4.79299    -4.93425   0.0169238
         358    -4.92807    -4.93423   0.0168765
         359    -4.84775    -4.93399   0.0168312
         360    -4.85334    -4.93377    0.016786
         361    -4.85625    -4.93355   0.0167409
         362    -4.87953     -4.9334   0.0166953
         363    -4.86526    -4.93321   0.0166503
         364    -4.79117    -4.93282   0.0166092
         365    -4.80009    -4.93246   0.0165676
         366    -4.70972    -4.93185   0.0165336
         367    -4.74736    -4.93135   0.0164961
         368    -4.73755    -4.93082   0.0164597
         369    -4.88307    -4.93069   0.0164156
         370    -4.84902    -4.93047   0.0163727
         371    -4.72158    -4.92991   0.0163383
         372    -4.81656     -4.9296   0.0162972
         373    -4.93894    -4.92963   0.0162535
         374    -4.84441     -4.9294   0.0162117
         375    -4.70128    -4.92879   0.0161799
         376    -4.74789    -4.92831    0.016144
         377    -4.86094    -4.92813   0.0161021
         378    -4.76489     -4.9277   0.0160653
         379    -4.78772    -4.92733   0.0160272
         380    -4.93554    -4.92735    0.015985
         381    -4.90099    -4.92729   0.0159432
         382    -4.69594    -4.92668    0.015913
         383    -4.65501    -4.92597   0.0158872
         384    -4.76591    -4.92555   0.0158513
         385    -4.55621    -4.92459   0.0158392
         386    -4.49004    -4.92347   0.0158381
         387    -4.55601    -4.92252   0.0158256
         388    -4.57855    -4.92163   0.0158096
         389     -4.6826    -4.92102   0.0157809
         390     -4.6588    -4.92035   0.0157548
         391    -4.74206    -4.91989   0.0157211
         392    -4.65545    -4.91921   0.0156954
         393    -4.75094    -4.91879   0.0156613
         394    -4.75405    -4.91837   0.0156272
         395    -4.83436    -4.91816    0.015589
         396    -4.75565    -4.91775   0.0155551
         397    -4.80725    -4.91747   0.0155184
         398    -4.78359    -4.91713    0.015483
         399     -4.7061     -4.9166   0.0154533
         400    -4.69093    -4.91604   0.0154249
         401    -4.68588    -4.91546   0.0153971
         402    -4.73837    -4.91502   0.0153651
         403    -4.66999    -4.91442    0.015339
         404    -4.51338    -4.91342   0.0153332
         405    -4.59195    -4.91263   0.0153158
         406    -4.72905    -4.91218   0.0152848
         407    -4.64934    -4.91153   0.0152609
         408    -4.58628    -4.91073   0.0152443
         409    -4.51165    -4.90976   0.0152382
         410     -4.7294    -4.90932   0.0152074
         411    -4.78019      -4.909   0.0151736
         412    -4.59729    -4.90825   0.0151556
         413     -4.7471    -4.90786    0.015124
         414    -4.81096    -4.90762   0.0150892
         415    -4.68875     -4.9071   0.0150621
         416    -4.72639    -4.90666   0.0150321
         417    -4.91206    -4.90667   0.0149961
         418     -4.9626    -4.90681   0.0149608
         419    -4.95564    -4.90692   0.0149256
         420    -5.14056    -4.90748   0.0149004
         421    -5.02438    -4.90776   0.0148676
         422    -5.08923    -4.90819   0.0148386
         423    -5.10191    -4.90865   0.0148106
         424    -5.20861    -4.90935   0.0147925
         425    -5.14014     -4.9099   0.0147677
         426    -5.03364    -4.91019   0.0147359
         427    -5.09168    -4.91061   0.0147075
         428    -5.05567    -4.91095    0.014677
         429    -5.01203    -4.91119   0.0146447
         430    -4.97744    -4.91134   0.0146115
         431    -5.19734      -4.912   0.0145926
         432    -5.08831    -4.91241   0.0145645
         433    -5.24184    -4.91317   0.0145508
         434    -5.07323    -4.91354   0.0145219
         435    -5.07435    -4.91391   0.0144932
         436    -5.10698    -4.91435   0.0144668
         437    -4.95925    -4.91446    0.014434
         438    -4.89569    -4.91441   0.0144011
         439    -4.92575    -4.91444   0.0143683
         440    -5.00492    -4.91465   0.0143372
         441    -4.97389    -4.91478   0.0143053
         442     -4.7877    -4.91449   0.0142758
         443    -4.69092    -4.91399   0.0142525
         444    -4.89108    -4.91394   0.0142205
         445    -4.97103    -4.91406   0.0141891
         446    -4.93388    -4.91411   0.0141574
         447    -4.78551    -4.91382   0.0141286
         448    -4.91788    -4.91383   0.0140971
         449    -4.88527    -4.91377   0.0140658
         450    -4.91855    -4.91378   0.0140346
         451    -4.92132    -4.91379   0.0140035
         452    -4.94518    -4.91386   0.0139727
         453    -5.01326    -4.91408   0.0139435
         454    -5.05067    -4.91438   0.0139161
         455    -5.05654     -4.9147    0.013889
         456    -5.16259    -4.91524   0.0138692
         457    -5.10269    -4.91565   0.0138449
         458    -4.99913    -4.91583   0.0138159
         459    -4.75527    -4.91548   0.0137902
         460    -4.53193    -4.91465   0.0137854
         461      -4.571     -4.9139   0.0137756
         462    -4.80188    -4.91366   0.0137479
         463    -4.90741    -4.91365   0.0137183
         464    -4.99703    -4.91383   0.0136899
         465    -4.97692    -4.91396   0.0136611
         466    -4.90498    -4.91394   0.0136318
         467    -4.87686    -4.91386   0.0136028
         468    -4.94807    -4.91394    0.013574
         469    -4.86287    -4.91383   0.0135455
         470    -4.94787     -4.9139   0.0135168
         471    -4.99486    -4.91407   0.0134892
         472     -4.9772    -4.91421   0.0134613
         473    -5.01323    -4.91442   0.0134345
         474    -4.97933    -4.91455   0.0134068
         475    -5.02311    -4.91478   0.0133806
         476    -4.88471    -4.91472   0.0133526
         477    -4.74653    -4.91437   0.0133293
         478    -4.65068    -4.91381   0.0133128
         479    -4.74774    -4.91347   0.0132895
         480    -4.79726    -4.91323    0.013264
         481    -4.72787    -4.91284    0.013242
         482    -4.89344     -4.9128   0.0132146
         483    -5.09639    -4.91318   0.0131927
         484    -4.95331    -4.91326   0.0131657
         485    -4.78507      -4.913   0.0131413
         486    -4.76723     -4.9127   0.0131176
         487    -4.97522    -4.91283   0.0130913
         488    -4.95483    -4.91291   0.0130648
         489    -5.00557     -4.9131   0.0130394
         490    -4.78274    -4.91284   0.0130155
         491    -4.84498     -4.9127   0.0129898
         492    -4.80634    -4.91248   0.0129652
         493    -4.81414    -4.91228   0.0129404
         494    -4.84287    -4.91214    0.012915
         495     -4.8039    -4.91192   0.0128907
         496    -4.88727    -4.91187   0.0128648
         497    -4.81505    -4.91168   0.0128404
         498    -4.67399     -4.9112   0.0128235
         499    -4.63106    -4.91064   0.0128101
         500    -4.60594    -4.91003    0.012799
         501    -4.64822    -4.90951   0.0127841
         502    -4.61299    -4.90892   0.0127722
         503    -4.57034    -4.90824   0.0127646
         504    -4.53549     -4.9075   0.0127607
         505    -4.69636    -4.90709   0.0127422
         506    -4.69315    -4.90666   0.0127241
         507    -4.64697    -4.90615   0.0127093
         508     -4.7062    -4.90576   0.0126904
         509      -4.831    -4.90561   0.0126663
         510    -4.94259    -4.90568   0.0126416
         511    -4.77852    -4.90543   0.0126194
         512     -4.7193    -4.90507   0.0125999
         513    -4.65171    -4.90458   0.0125851
         514    -4.60147    -4.90399   0.0125744
         515    -4.71268    -4.90362   0.0125555
         516    -4.70544    -4.90323    0.012537
         517     -4.7052    -4.90285   0.0125186
         518    -4.87379    -4.90279   0.0124946
         519    -4.76236    -4.90252   0.0124734
         520    -4.72186    -4.90218   0.0124543
         521    -4.69831    -4.90178   0.0124365
         522    -4.80544     -4.9016    0.012414
         523    -4.92699    -4.90165   0.0123904
         524    -4.86621    -4.90158   0.0123669
         525    -5.00241    -4.90177   0.0123449
         526    -4.98596    -4.90193   0.0123224
         527    -4.63997    -4.90144   0.0123091
         528    -4.64507    -4.90095   0.0122953
         529     -4.6625     -4.9005   0.0122804
         530    -4.54186    -4.89982   0.0122758
         531    -4.55908    -4.89918   0.0122695
         532    -4.65893    -4.89873   0.0122547
         533    -4.79176    -4.89853   0.0122334
         534    -4.89341    -4.89852   0.0122105
         535    -4.70562    -4.89816   0.0121929
         536    -4.90253    -4.89817   0.0121702
         537    -4.81286    -4.89801   0.0121486
         538    -4.64971    -4.89755   0.0121348
         539    -4.83911    -4.89744   0.0121127
         540    -4.59749    -4.89688    0.012103
         541      -4.601    -4.89634    0.012093
         542    -4.74668    -4.89606   0.0120738
         543    -4.50309    -4.89534   0.0120733
         544     -4.4853    -4.89458   0.0120746
         545    -4.58214    -4.89401    0.012066
         546    -4.71036    -4.89367   0.0120486
         547    -4.61242    -4.89316   0.0120376
         548    -4.62387    -4.89267   0.0120256
         549    -4.91533    -4.89271   0.0120038
         550    -4.96148    -4.89283   0.0119826
         551    -4.85846    -4.89277    0.011961
         552    -4.92202    -4.89282   0.0119395
         553    -4.82439     -4.8927   0.0119185
         554    -4.57804    -4.89213   0.0119105
         555     -4.5118    -4.89145   0.0119088
         556    -4.63243    -4.89098   0.0118965
         557    -4.73633     -4.8907   0.0118784
         558    -4.69957    -4.89036    0.011862
         559    -4.69422    -4.89001    0.011846
         560    -4.79088    -4.88983   0.0118261
         561    -4.76558    -4.88961   0.0118071
         562     -4.6621    -4.88921   0.0117931
         563    -4.65922     -4.8888   0.0117792
         564    -4.60805     -4.8883   0.0117688
         565    -4.62295    -4.88783   0.0117574
         566     -4.7244    -4.88754   0.0117401
         567    -4.82724    -4.88743   0.0117199
         568    -4.70178    -4.88711   0.0117038
         569    -4.56028    -4.88653   0.0116973
         570    -4.64801    -4.88612   0.0116843
         571    -4.72019    -4.88582   0.0116675
         572    -4.83775    -4.88574   0.0116474
         573    -4.80538     -4.8856   0.0116279
         574    -4.83709    -4.88552   0.0116079
         575    -4.84973    -4.88545   0.0115879
         576    -4.76758    -4.88525   0.0115696
         577    -4.96751    -4.88539   0.0115504
         578    -4.92211    -4.88546   0.0115306
         579    -4.89816    -4.88548   0.0115107
         580    -4.79812    -4.88533   0.0114919
         581    -4.70654    -4.88502   0.0114762
         582    -4.80536    -4.88488   0.0114573
         583     -4.8038    -4.88474   0.0114385
         584    -4.98691    -4.88492   0.0114202
         585    -4.97205    -4.88507   0.0114017
         586    -4.86177    -4.88503   0.0113823
         587    -4.73207    -4.88477   0.0113659
         588    -4.89991    -4.88479   0.0113466
         589    -4.89756    -4.88481   0.0113274
         590    -5.14196    -4.88525   0.0113165
         591    -5.04866    -4.88553   0.0113008
         592    -4.91434    -4.88557   0.0112818
         593    -4.97084    -4.88572   0.0112637
         594    -4.89139    -4.88573   0.0112447
         595    -4.74673    -4.88549   0.0112282
         596    -4.90864    -4.88553   0.0112095
         597    -5.02036    -4.88576    0.011193
         598    -4.93171    -4.88584   0.0111745
         599    -5.04267     -4.8861   0.0111589
         600    -5.06009    -4.88639   0.0111441
         601    -5.16844    -4.88686   0.0111354
         602    -4.98496    -4.88702   0.0111181
         603    -5.01095    -4.88723   0.0111016
         604    -5.19382    -4.88773   0.0110948
         605    -5.20335    -4.88825   0.0110887
         606    -4.99923    -4.88844   0.0110719
         607    -5.04605     -4.8887   0.0110567
         608    -4.84457    -4.88863   0.0110388
         609    -5.00675    -4.88882   0.0110224
         610    -4.97341    -4.88896   0.0110052
         611     -4.9119      -4.889   0.0109872
         612    -5.01829    -4.88921   0.0109713
         613    -5.14105    -4.88962   0.0109611
         614    -5.10473    -4.88997   0.0109488
         615    -5.02137    -4.89018   0.0109331
         616    -5.00978    -4.89038   0.0109171
         617    -4.94267    -4.89046   0.0108997
         618    -4.90351    -4.89048   0.0108821
         619    -4.80841    -4.89035   0.0108653
         620    -4.78923    -4.89019    0.010849
         621    -4.73655    -4.88994   0.0108344
