#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         685     1.76857     3.03293   0.0476676
         686     1.86665     3.03123   0.0476284
         687     1.97602     3.02969   0.0475838
         688     2.38092     3.02875    0.047524
         689     2.57804     3.02809   0.0474595
         690     2.91931     3.02794    0.047391
         691     3.27295     3.02829   0.0473238
         692     2.85616     3.02804    0.047256
         693     2.51631      3.0273   0.0471936
         694     2.58985     3.02667   0.0471298
         695     2.81186     3.02636    0.047063
         696     2.63358      3.0258   0.0469988
         697      2.2523     3.02469   0.0469445
         698     2.71728     3.02425   0.0468793
         699     2.50193      3.0235   0.0468182
         700     2.47519     3.02272   0.0467578
         701     3.43225      3.0233   0.0466948
         702     2.74346      3.0229     0.04663
         703     3.08693       3.023   0.0465637
         704     3.20116     3.02325   0.0464983
         705     3.45456     3.02386   0.0464363
         706     3.46826     3.02449   0.0463748
         707     2.82366     3.02421   0.0463101
         708      2.2427      3.0231   0.0462578
         709     1.86186     3.02146   0.0462216
         710     2.55762     3.02081   0.0461611
         711     2.05953     3.01946    0.046116
         712     2.73355     3.01906    0.046053
         713     2.20169     3.01791   0.0460026
         714     2.53711     3.01724   0.0459431
         715     2.88022     3.01705   0.0458793
         716     2.59174     3.01645    0.045819
         717     2.61966      3.0159   0.0457585
         718     3.20166     3.01616   0.0456955
         719     3.70902     3.01712   0.0456421
         720     2.98982     3.01708   0.0455787
         721     3.38057     3.01759   0.0455183
         722     3.17134      3.0178   0.0454557
         723     3.10395     3.01792    0.045393
         724     2.68299     3.01746   0.0453327
         725     2.80401     3.01716   0.0452711
         726     3.01988     3.01717   0.0452088
         727      2.8589     3.01695   0.0451471
         728     3.17949     3.01717   0.0450856
         729     3.13902     3.01734   0.0450241
         730     3.31444     3.01775   0.0449643
         731     2.80086     3.01745   0.0449037
         732     2.86054     3.01723   0.0448429
         733     3.91521     3.01846   0.0447984
         734      4.0236     3.01983   0.0447583
         735     3.84716     3.02095   0.0447116
         736     3.74016     3.02193   0.0446615
         737      3.2231      3.0222   0.0446018
         738     3.37522     3.02268   0.0445439
         739     3.71231     3.02362   0.0444934
         740     3.56551     3.02435   0.0444393
         741     3.38356     3.02483    0.044382
         742     2.58551     3.02424   0.0443261
         743     2.53472     3.02358   0.0442713
         744     2.48983     3.02287   0.0442176
         745     2.22679      3.0218   0.0441712
         746     3.01896     3.02179    0.044112
