96		3.13249		3.14214		0.0010738
97		3.15075		3.14223		0.00106641
98		3.13553		3.14216		0.00105775
99		3.16251		3.14237		0.00106669
100		3.14713		3.14242		0.00105713
101		3.14046		3.1424		0.00104689
102		3.15447		3.14251		0.00104328
103		3.13799		3.14247		0.00103412
104		3.13898		3.14244		0.00102476
105		3.14832		3.14249		0.00101656
106		3.15398		3.1426		0.00101272
107		3.15254		3.14269		0.00100751
108		3.13996		3.14267		0.000998538
109		3.13219		3.14257		0.000993988
110		3.14144		3.14256		0.000985045
111		3.14842		3.14261		0.000977609
112		3.12847		3.14249		0.000976969
113		3.145		3.14251		0.000968612
114		3.14559		3.14254		0.000960527
115		3.13676		3.14249		0.00095351
116		3.14817		3.14254		0.000946572
117		3.13038		3.14243		0.000944152
118		3.14901		3.14249		0.000937815
119		3.1344		3.14242		0.000932405
120		3.15209		3.1425		0.000928112
121		3.15194		3.14258		0.000923719
122		3.14209		3.14257		0.000916187
123		3.13063		3.14248		0.000913863
124		3.14189		3.14247		0.000906535
125		3.13868		3.14244		0.000899814
126		3.14549		3.14247		0.000893024
127		3.12315		3.14232		0.000898786
128		3.15796		3.14244		0.000900001
129		3.15045		3.1425		0.000895175
130		3.14105		3.14249		0.000888385
131		3.15298		3.14257		0.000885206
132		3.15234		3.14264		0.000881591
133		3.15154		3.14271		0.000877505
134		3.13161		3.14262		0.000874854
135		3.14936		3.14267		0.000869808
136		3.14871		3.14272		0.00086456
137		3.13603		3.14267		0.000859642
138		3.12808		3.14257		0.000859866
139		3.13347		3.1425		0.00085617
140		3.14505		3.14252		0.000850269
141		3.13347		3.14245		0.000846661
142		3.14302		3.14246		0.000840729
143		3.14614		3.14248		0.000835261
144		3.13888		3.14246		0.000829853
145		3.16311		3.1426		0.000836194
146		3.14812		3.14264		0.000831334
147		3.12417		3.14251		0.000835073
148		3.14297		3.14252		0.000829456
149		3.17023		3.1427		0.000844362
150		3.13406		3.14264		0.000840702
151		3.14194		3.14264		0.000835165
152		3.11779		3.14248		0.000845435
153		3.14876		3.14252		0.000840919
154		3.15308		3.14259		0.000838252
155		3.13254		3.14252		0.000835348
156		3.14475		3.14254		0.000830132
157		3.15816		3.14263		0.000830768
158		3.15164		3.14269		0.000827468
159		3.13406		3.14264		0.000824048
160		3.14782		3.14267		0.000819546
161		3.14248		3.14267		0.000814473
162		3.12656		3.14257		0.000815468
163		3.15776		3.14266		0.000815757
164		3.13893		3.14264		0.000811114
165		3.14149		3.14263		0.000806242
166		3.14738		3.14266		0.000801903
167		3.14629		3.14268		0.000797408
168		3.14159		3.14268		0.000792702
169		3.1346		3.14263		0.000789456
170		3.13853		3.1426		0.00078519
171		3.12427		3.1425		0.000787858
172		3.14683		3.14252		0.000783691
173		3.13932		3.1425		0.000779391
174		3.12617		3.14241		0.000780525
175		3.13308		3.14236		0.000777887
176		3.1377		3.14233		0.000773928
177		3.13278		3.14228		0.000771435
178		3.14995		3.14232		0.000768311
179		3.13775		3.1423		0.000764453
180		3.13804		3.14227		0.000760581
181		3.1446		3.14229		0.000756499
182		3.13391		3.14224		0.000753744
183		3.14139		3.14223		0.00074965
184		3.12783		3.14216		0.000749639
185		3.11964		3.14204		0.000755363
186		3.13391		3.14199		0.000752568
187		3.14046		3.14198		0.000748599
188		3.14842		3.14202		0.000745405
189		3.13637		3.14199		0.000742067
190		3.14535		3.14201		0.000738381
191		3.13426		3.14197		0.000735633
192		3.15627		3.14204		0.000735554
193		3.13991		3.14203		0.000731834
194		3.14253		3.14203		0.000728076
195		3.15353		3.14209		0.000726724
196		3.14243		3.14209		0.000723027
197		3.14352		3.1421		0.000719403
198		3.13435		3.14206		0.000716836
199		3.13721		3.14204		0.000713655
200		3.1317		3.14198		0.000711954
201		3.12417		3.1419		0.000713889
202		3.13426		3.14186		0.00071136
203		3.14426		3.14187		0.000707962
204		3.16731		3.14199		0.000715349
205		3.14589		3.14201		0.000712119
206		3.15035		3.14205		0.000709814
207		3.1507		3.1421		0.000707615
208		3.13313		3.14205		0.000705527
209		3.13121		3.142		0.000704054
210		3.13952		3.14199		0.000700808
211		3.15303		3.14204		0.000699437
212		3.15139		3.14208		0.000697528
213		3.12563		3.14201		0.000698504
214		3.15856		3.14209		0.000699497
215		3.1378		3.14207		0.000696534
216		3.13598		3.14204		0.000693884
217		3.15936		3.14212		0.000695249
218		3.15438		3.14217		0.000694327
219		3.13239		3.14213		0.000692592
220		3.13903		3.14211		0.000689594
221		3.14371		3.14212		0.000686519
222		3.14852		3.14215		0.000684034
223		3.13952		3.14214		0.000681075
224		3.1506		3.14218		0.000679083
225		3.12994		3.14212		0.000678236
226		3.16761		3.14223		0.000684517
227		3.15209		3.14228		0.000682877
