#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         515    0.604362    0.644794   0.0070193
         516    0.603697    0.644715  0.00700615
         517    0.603056    0.644634  0.00699306
         518    0.602441    0.644553  0.00698003
         519    0.601858     0.64447  0.00696707
         520    0.601307    0.644387  0.00695416
         521    0.600794    0.644304  0.00694132
         522     0.60032    0.644219  0.00692853
         523    0.599889    0.644135   0.0069158
         524    0.599506     0.64405  0.00690313
         525    0.599172    0.643964  0.00689051
         526    0.598891    0.643878  0.00687794
         527    0.598665    0.643793  0.00686543
         528    0.598498    0.643707  0.00685296
         529    0.598391    0.643621  0.00684054
         530    0.598346    0.643536  0.00682817
         531    0.598365    0.643451  0.00681584
         532     0.59845    0.643366  0.00680355
         533    0.598601    0.643282  0.00679131
         534    0.598821    0.643199   0.0067791
         535    0.599106    0.643116  0.00676693
         536    0.599458    0.643035  0.00675479
         537    0.599875    0.642955  0.00674269
         538    0.600357    0.642875  0.00673063
         539    0.600901    0.642797  0.00671859
         540    0.601507    0.642721  0.00670658
         541    0.602169    0.642646   0.0066946
         542    0.602885    0.642573  0.00668265
         543     0.60365    0.642501  0.00667073
         544    0.604463    0.642431  0.00665884
         545    0.605318    0.642363  0.00664697
         546    0.606211    0.642297  0.00663512
         547    0.607137    0.642233   0.0066233
         548    0.608091     0.64217  0.00661151
         549    0.609068     0.64211  0.00659974
         550    0.610063    0.642052    0.006588
         551    0.611071    0.641995  0.00657628
         552    0.612086    0.641941  0.00656459
         553    0.613104    0.641889  0.00655293
         554    0.614118    0.641839  0.00654129
         555    0.615124    0.641791  0.00652968
         556    0.616118    0.641745   0.0065181
         557    0.617093      0.6417  0.00650655
         558    0.618045    0.641658  0.00649503
         559     0.61897    0.641617  0.00648354
         560    0.619863    0.641579  0.00647207
         561    0.620721    0.641541  0.00646064
         562    0.621539    0.641506  0.00644925
         563    0.622314    0.641472  0.00643788
         564    0.623043    0.641439  0.00642655
         565    0.623723    0.641408  0.00641525
         566    0.624352    0.641378  0.00640399
         567    0.624927    0.641349  0.00639276
         568    0.625446    0.641321  0.00638157
         569    0.625908    0.641293  0.00637041
         570    0.626311    0.641267  0.00635929
         571    0.626654    0.641242   0.0063482
         572    0.626938    0.641217  0.00633715
         573    0.627161    0.641192  0.00632614
         574    0.627323    0.641168  0.00631516
         575    0.627425    0.641144  0.00630423
         576    0.627467     0.64112  0.00629333
         577     0.62745    0.641097  0.00628246
         578    0.627375    0.641073  0.00627164
         579    0.627245    0.641049  0.00626085
         580    0.627061    0.641025  0.00625011
         581    0.626824       0.641   0.0062394
         582    0.626538    0.640976  0.00622872
         583    0.626204     0.64095  0.00621809
         584    0.625824    0.640924   0.0062075
         585    0.625401    0.640898  0.00619694
         586    0.624938    0.640871  0.00618643
         587    0.624437    0.640843  0.00617595
         588    0.623899    0.640814  0.00616552
         589    0.623327    0.640784  0.00615512
         590    0.622723    0.640753  0.00614476
         591     0.62209    0.640722  0.00613445
         592     0.62143    0.640689  0.00612417
         593    0.620745    0.640656  0.00611394
         594    0.620035    0.640621  0.00610374
         595    0.619301    0.640585  0.00609359
