#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         214     -0.5196   -0.519342  0.00129346
         215   -0.518983    -0.51934  0.00128745
         216   -0.518372   -0.519336   0.0012815
         217   -0.517767   -0.519328  0.00127561
         218    -0.51717   -0.519318   0.0012698
         219   -0.516579   -0.519306  0.00126406
         220   -0.515989   -0.519291  0.00125841
         221   -0.515401   -0.519273  0.00125283
         222   -0.514819   -0.519253  0.00124735
         223   -0.514238   -0.519231  0.00124196
         224   -0.513662   -0.519206  0.00123667
         225   -0.513086   -0.519179  0.00123147
         226   -0.512505   -0.519149  0.00122637
         227   -0.511925   -0.519117  0.00122138
         228   -0.511347   -0.519083   0.0012165
         229   -0.510763   -0.519047  0.00121173
         230   -0.510172   -0.519008  0.00120708
         231    -0.50958   -0.518967  0.00120254
         232   -0.508985   -0.518924  0.00119813
         233    -0.50838   -0.518879  0.00119384
         234   -0.507774   -0.518832  0.00118968
         235   -0.507159   -0.518782  0.00118566
         236   -0.506535    -0.51873  0.00118177
         237   -0.505905   -0.518676  0.00117802
         238   -0.505271    -0.51862  0.00117442
         239   -0.504631   -0.518561  0.00117096
         240   -0.503982     -0.5185  0.00116765
         241   -0.503329   -0.518438  0.00116451
         242   -0.502673   -0.518372  0.00116151
         243   -0.502012   -0.518305  0.00115868
         244   -0.501352   -0.518236  0.00115602
         245   -0.500687   -0.518164  0.00115352
         246   -0.500023    -0.51809  0.00115118
         247   -0.499356   -0.518014  0.00114902
         248   -0.498695   -0.517936  0.00114702
         249   -0.498042   -0.517857  0.00114519
         250   -0.497398   -0.517775  0.00114353
         251   -0.496758   -0.517691  0.00114204
         252   -0.496133   -0.517605  0.00114071
         253   -0.495523   -0.517518  0.00113953
         254   -0.494937   -0.517429  0.00113851
         255   -0.494371   -0.517339  0.00113763
         256   -0.493827   -0.517247  0.00113689
         257   -0.493313   -0.517154  0.00113627
         258   -0.492829    -0.51706  0.00113577
         259   -0.492383   -0.516964  0.00113537
         260   -0.491974   -0.516868  0.00113507
         261   -0.491612   -0.516771  0.00113484
         262   -0.491296   -0.516674  0.00113466
         263   -0.491032   -0.516577  0.00113453
         264   -0.490819   -0.516479  0.00113442
         265   -0.490671   -0.516382  0.00113431
         266    -0.49058   -0.516285  0.00113419
         267   -0.490551   -0.516188  0.00113403
         268   -0.490588   -0.516093  0.00113381
         269   -0.490698   -0.515998  0.00113352
         270   -0.490872   -0.515905  0.00113314
         271   -0.491126   -0.515814  0.00113264
         272   -0.491449   -0.515724  0.00113201
         273   -0.491843   -0.515637  0.00113124
         274   -0.492305   -0.515552  0.00113031
         275   -0.492844   -0.515469  0.00112921
         276   -0.493451   -0.515389  0.00112794
         277   -0.494133   -0.515313  0.00112647
         278    -0.49488   -0.515239  0.00112481
         279   -0.495695   -0.515169  0.00112296
         280    -0.49657   -0.515103  0.00112091
         281   -0.497511    -0.51504  0.00111867
         282   -0.498506   -0.514981  0.00111624
         283   -0.499557   -0.514927  0.00111363
