#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
      10      24        6.53333              0              0              0
      10      25            6.8              0              0              0
      10      26        7.06667              0              0              0
      10      27        7.33333              0              0              0
      10      28            7.6              0              0              0
      10      29        7.86667              0              0              0
      11       0       0.133333              0              0              0
      11       1            0.4      0.0347222      0.0347222              0
      11       2       0.666667       0.104167       0.104167              0
      11       3       0.933333         0.3125         0.3125              0
      11       4            1.2       0.416667       0.394571     0.00503614
      11       5        1.46667       0.590278       0.612374     0.00503614
      11       6        1.73333       0.555556       0.555556              0
      11       7              2       0.347222       0.363005      0.0052129
      11       8        2.26667       0.486111       0.464015     0.00807578
      11       9        2.53333       0.243056       0.249369     0.00403789
      11      10            2.8         0.3125       0.315657     0.00300967
      11      11        3.06667       0.104167      0.0883838      0.0068631
      11      12        3.33333       0.104167       0.116793     0.00503614
      11      13            3.6      0.0347222      0.0347222              0
      11      14        3.86667      0.0694444      0.0694444              0
      11      15        4.13333      0.0347222      0.0347222              0
      11      16            4.4              0              0              0
      11      17        4.66667              0              0              0
      11      18        4.93333              0              0              0
      11      19            5.2              0              0              0
      11      20        5.46667              0              0              0
      11      21        5.73333              0              0              0
      11      22              6              0              0              0
      11      23        6.26667              0              0              0
      11      24        6.53333              0              0              0
      11      25            6.8              0              0              0
      11      26        7.06667              0              0              0
      11      27        7.33333              0              0              0
      11      28            7.6              0              0              0
      11      29        7.86667              0              0              0
      12       0       0.133333              0              0              0
      12       1            0.4      0.0347222      0.0347222              0
      12       2       0.666667       0.104167       0.104167              0
      12       3       0.933333         0.3125         0.3125              0
      12       4            1.2       0.416667       0.396412     0.00494162
      12       5        1.46667       0.590278       0.610532     0.00494162
      12       6        1.73333       0.555556       0.555556              0
      12       7              2       0.347222        0.36169     0.00494162
      12       8        2.26667       0.486111       0.465856     0.00760983
      12       9        2.53333       0.243056       0.248843     0.00373552
      12      10            2.8         0.3125       0.315394     0.00277033
      12      11        3.06667       0.104167      0.0896991     0.00641596
      12      12        3.33333       0.104167       0.115741      0.0047251
      12      13            3.6      0.0347222      0.0347222              0
      12      14        3.86667      0.0694444      0.0694444              0
      12      15        4.13333      0.0347222      0.0347222              0
      12      16            4.4              0              0              0
      12      17        4.66667              0              0              0
      12      18        4.93333              0              0              0
      12      19            5.2              0              0              0
      12      20        5.46667              0              0              0
      12      21        5.73333              0              0              0
      12      22              6              0              0              0
      12      23        6.26667              0              0              0
      12      24        6.53333              0              0              0
      12      25            6.8              0              0              0
      12      26        7.06667              0              0              0
      12      27        7.33333              0              0              0
      12      28            7.6              0              0              0
      12      29        7.86667              0              0              0
      13       0       0.133333              0              0              0
      13       1            0.4      0.0347222      0.0347222              0
      13       2       0.666667       0.104167       0.104167              0
      13       3       0.933333         0.3125         0.3125              0
      13       4            1.2       0.416667        0.39797     0.00480084
      13       5        1.46667       0.590278       0.608974     0.00480084
      13       6        1.73333       0.555556       0.555556              0
      13       7              2       0.347222       0.360577     0.00468514
      13       8        2.26667       0.486111       0.467415     0.00718218
      13       9        2.53333       0.243056       0.248397     0.00347459
      13      10            2.8         0.3125       0.315171     0.00256616
      13      11        3.06667       0.104167       0.090812     0.00601817
      13      12        3.33333       0.104167        0.11485     0.00444471
      13      13            3.6      0.0347222      0.0347222              0
      13      14        3.86667      0.0694444      0.0694444              0
      13      15        4.13333      0.0347222      0.0347222              0
      13      16            4.4              0              0              0
      13      17        4.66667              0              0              0
      13      18        4.93333              0              0              0
      13      19            5.2              0              0              0
      13      20        5.46667              0              0              0
      13      21        5.73333              0              0              0
      13      22              6              0              0              0
      13      23        6.26667              0              0              0
      13      24        6.53333              0              0              0
      13      25            6.8              0              0              0
      13      26        7.06667              0              0              0
      13      27        7.33333              0              0              0
      13      28            7.6              0              0              0
      13      29        7.86667              0              0              0
      14       0       0.133333              0              0              0
      14       1            0.4      0.0347222      0.0347222              0
      14       2       0.666667       0.104167       0.104167              0
      14       3       0.933333         0.3125         0.3125              0
      14       4            1.2       0.416667       0.399306     0.00463995
      14       5        1.46667       0.590278       0.607639     0.00463995
      14       6        1.73333       0.555556       0.555556              0
      14       7              2       0.347222       0.359623     0.00444654
      14       8        2.26667       0.486111        0.46875     0.00679219
      14       9        2.53333       0.243056       0.248016     0.00324729
      14      10            2.8       0.277778         0.3125     0.00350747
      14      11        3.06667       0.138889       0.094246     0.00649458
      14      12        3.33333       0.104167       0.114087     0.00419223
      14      13            3.6      0.0347222      0.0347222              0
      14      14        3.86667      0.0694444      0.0694444              0
      14      15        4.13333      0.0347222      0.0347222              0
      14      16            4.4              0              0              0
      14      17        4.66667              0              0              0
      14      18        4.93333              0              0              0
      14      19            5.2              0              0              0
      14      20        5.46667              0              0              0
      14      21        5.73333              0              0              0
      14      22              6              0              0              0
      14      23        6.26667              0              0              0
      14      24        6.53333              0              0              0
      14      25            6.8              0              0              0
      14      26        7.06667              0              0              0
      14      27        7.33333              0              0              0
      14      28            7.6              0              0              0
      14      29        7.86667              0              0              0
      15       0       0.133333              0              0              0
      15       1            0.4      0.0347222      0.0347222              0
      15       2       0.666667       0.104167       0.104167              0
      15       3       0.933333         0.3125         0.3125              0
      15       4            1.2       0.416667       0.400463     0.00447265
      15       5        1.46667       0.590278       0.606481     0.00447265
      15       6        1.73333       0.555556       0.555556              0
      15       7              2       0.347222       0.358796     0.00422625
      15       8        2.26667       0.486111       0.469907     0.00643724
      15       9        2.53333       0.243056       0.247685      0.0030476
      15      10            2.8       0.277778       0.310185     0.00396458
      15      11        3.06667       0.138889      0.0972222     0.00670897
      15      12        3.33333       0.104167       0.113426     0.00396458
      15      13            3.6      0.0347222      0.0347222              0
      15      14        3.86667      0.0694444      0.0694444              0
      15      15        4.13333      0.0347222      0.0347222              0
      15      16            4.4              0              0              0
      15      17        4.66667              0              0              0
      15      18        4.93333              0              0              0
      15      19            5.2              0              0              0
      15      20        5.46667              0              0              0
      15      21        5.73333              0              0              0
      15      22              6              0              0              0
      15      23        6.26667              0              0              0
      15      24        6.53333              0              0              0
      15      25            6.8              0              0              0
      15      26        7.06667              0              0              0
      15      27        7.33333              0              0              0
      15      28            7.6              0              0              0
      15      29        7.86667              0              0              0
      16       0       0.133333              0              0              0
      16       1            0.4      0.0347222      0.0347222              0
      16       2       0.666667       0.104167       0.104167              0
      16       3       0.933333         0.3125         0.3125              0
      16       4            1.2       0.416667       0.401476     0.00430624
      16       5        1.46667       0.555556       0.603299     0.00520381
      16       6        1.73333       0.590278       0.557726     0.00210123
      16       7              2       0.347222       0.358073     0.00402355
      16       8        2.26667       0.486111        0.47092     0.00611406
      16       9        2.53333       0.243056       0.247396     0.00287082
      16      10            2.8       0.277778        0.30816     0.00420246
      16      11        3.06667       0.138889      0.0998264     0.00677626
      16      12        3.33333       0.104167       0.112847     0.00375879
      16      13            3.6      0.0347222      0.0347222              0
      16      14        3.86667      0.0694444      0.0694444              0
      16      15        4.13333      0.0347222      0.0347222              0
      16      16            4.4              0              0              0
      16      17        4.66667              0              0              0
      16      18        4.93333              0              0              0
      16      19            5.2              0              0              0
      16      20        5.46667              0              0              0
      16      21        5.73333              0              0              0
      16      22              6              0              0              0
      16      23        6.26667              0              0              0
      16      24        6.53333              0              0              0
      16      25            6.8              0              0              0
      16      26        7.06667              0              0              0
      16      27        7.33333              0              0              0
      16      28            7.6              0              0              0
      16      29        7.86667              0              0              0
      17       0       0.133333              0              0              0
      17       1            0.4      0.0347222      0.0347222              0
      17       2       0.666667       0.104167       0.104167              0
      17       3       0.933333         0.3125         0.3125              0
      17       4            1.2       0.416667       0.402369     0.00414461
      17       5        1.46667       0.555556        0.60049     0.00560453
      17       6        1.73333       0.590278       0.559641     0.00271328
      17       7              2       0.347222       0.357435     0.00383716
