#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         217     2.11491     2.11593  0.00127566
         218     2.11431     2.11592  0.00126983
         219     2.11371     2.11591  0.00126407
         220     2.11311      2.1159  0.00125839
         221     2.11253     2.11588  0.00125279
         222     2.11194     2.11586  0.00124727
         223     2.11136     2.11584  0.00124184
         224     2.11078     2.11582   0.0012365
         225      2.1102      2.1158  0.00123126
         226     2.10962     2.11577  0.00122611
         227     2.10904     2.11574  0.00122107
         228     2.10846     2.11571  0.00121613
         229     2.10788     2.11567   0.0012113
         230     2.10729     2.11564  0.00120658
         231     2.10671      2.1156  0.00120198
         232     2.10611     2.11556  0.00119749
         233     2.10552     2.11551  0.00119313
         234     2.10491     2.11547  0.00118889
         235      2.1043     2.11542  0.00118478
         236     2.10369     2.11537   0.0011808
         237     2.10307     2.11532  0.00117696
         238     2.10244     2.11527  0.00117326
         239     2.10181     2.11521   0.0011697
         240     2.10117     2.11515  0.00116629
         241     2.10052     2.11509  0.00116303
         242     2.09987     2.11503  0.00115992
         243     2.09921     2.11496  0.00115698
         244     2.09855     2.11489  0.00115419
         245     2.09788     2.11483  0.00115156
         246     2.09722     2.11475   0.0011491
         247     2.09655     2.11468  0.00114681
         248     2.09589      2.1146  0.00114469
         249     2.09523     2.11453  0.00114273
         250     2.09457     2.11445  0.00114095
         251     2.09392     2.11437  0.00113933
         252     2.09329     2.11428  0.00113787
         253     2.09266      2.1142  0.00113658
         254     2.09205     2.11411  0.00113544
         255     2.09146     2.11402  0.00113446
         256     2.09089     2.11393  0.00113362
         257     2.09035     2.11384  0.00113291
         258     2.08984     2.11374  0.00113234
         259     2.08935     2.11365  0.00113187
         260     2.08891     2.11356  0.00113151
         261      2.0885     2.11346  0.00113124
         262     2.08814     2.11336  0.00113104
         263     2.08783     2.11327   0.0011309
         264     2.08756     2.11317   0.0011308
         265     2.08735     2.11307  0.00113073
         266      2.0872     2.11297  0.00113065
         267     2.08711     2.11288  0.00113056
         268     2.08708     2.11278  0.00113043
         269     2.08711     2.11269  0.00113025
         270     2.08722     2.11259  0.00112999
         271     2.08739      2.1125  0.00112964
         272     2.08764     2.11241  0.00112918
         273     2.08796     2.11232  0.00112859
         274     2.08835     2.11223  0.00112786
         275     2.08881     2.11214  0.00112696
         276     2.08935     2.11206   0.0011259
         277     2.08996     2.11198  0.00112466
         278     2.09064     2.11191  0.00112323
         279     2.09139     2.11183  0.00112161
         280      2.0922     2.11176   0.0011198
         281     2.09308     2.11169  0.00111778
         282     2.09402     2.11163  0.00111558
         283     2.09501     2.11157  0.00111318
         284     2.09606     2.11152   0.0011106
         285     2.09716     2.11147  0.00110785
         286      2.0983     2.11142  0.00110493
         287     2.09948     2.11138  0.00110186
         288     2.10069     2.11134  0.00109866
         289     2.10194     2.11131  0.00109534
         290     2.10321     2.11128  0.00109192
         291      2.1045     2.11126  0.00108842
         292      2.1058     2.11124  0.00108485
         293     2.10711     2.11123  0.00108124
         294     2.10843     2.11122   0.0010776
         295     2.10974     2.11121  0.00107396
         296     2.11105     2.11121  0.00107033
         297     2.11234     2.11122  0.00106674
         298     2.11362     2.11122  0.00106319
         299     2.11488     2.11124   0.0010597
         300     2.11611     2.11125  0.00105629
         301     2.11731     2.11127  0.00105298
         302     2.11848      2.1113  0.00104976
         303     2.11961     2.11132  0.00104665
         304      2.1207     2.11135  0.00104366
         305     2.12174     2.11139   0.0010408
         306     2.12273     2.11143  0.00103806
         307     2.12368     2.11147  0.00103544
         308     2.12457     2.11151  0.00103295
         309      2.1254     2.11155  0.00103059
         310     2.12618      2.1116  0.00102835
         311      2.1269     2.11165  0.00102621
         312     2.12755      2.1117  0.00102419
         313     2.12814     2.11175  0.00102226
         314     2.12866     2.11181  0.00102042
         315     2.12912     2.11186  0.00101866
         316      2.1295     2.11192  0.00101697
         317     2.12982     2.11197  0.00101533
         318     2.13007     2.11203  0.00101373
         319     2.13024     2.11209  0.00101216
         320     2.13035     2.11215   0.0010106
         321     2.13038      2.1122  0.00100905
         322     2.13033     2.11226  0.00100748
         323     2.13022     2.11231   0.0010059
         324     2.13003     2.11237  0.00100428
         325     2.12977     2.11242  0.00100261
         326     2.12943     2.11247  0.00100089
         327     2.12902     2.11252 0.000999111
         328     2.12854     2.11257 0.000997257
         329     2.12798     2.11262 0.000995325
         330     2.12736     2.11267 0.000993311
         331     2.12666     2.11271 0.000991209
         332     2.12589     2.11275 0.000989019
         333     2.12505     2.11278 0.000986739
         334     2.12415     2.11282 0.000984371
         335     2.12318     2.11285 0.000981918
         336     2.12214     2.11288 0.000979386
         337     2.12105      2.1129 0.000976779
         338     2.11989     2.11292 0.000974108
         339     2.11867     2.11294 0.000971382
         340      2.1174     2.11295 0.000968614
         341     2.11608     2.11296 0.000965817
         342     2.11471     2.11297 0.000963007
         343      2.1133     2.11297   0.0009602
         344     2.11184     2.11296 0.000957414
         345     2.11035     2.11296 0.000954669
         346     2.10882     2.11294 0.000951984
         347     2.10727     2.11293 0.000949381
         348      2.1057     2.11291  0.00094688
         349     2.10411     2.11288 0.000944502
         350     2.10252     2.11285 0.000942268
         351     2.10092     2.11282 0.000940196
         352     2.09932     2.11278 0.000938307
         353     2.09773     2.11274 0.000936617
         354     2.09616     2.11269 0.000935141
         355     2.09461     2.11264 0.000933892
         356      2.0931     2.11258 0.000932881
         357     2.09162     2.11253 0.000932114
         358     2.09019     2.11246 0.000931597
         359     2.08881      2.1124  0.00093133
         360     2.08748     2.11233  0.00093131
         361     2.08623     2.11226 0.000931533
         362     2.08505     2.11218 0.000931987
         363     2.08394      2.1121  0.00093266
         364     2.08292     2.11202 0.000933537
         365     2.08199     2.11194 0.000934598
         366     2.08116     2.11186 0.000935821
         367     2.08042     2.11177 0.000937182
         368     2.07979     2.11168 0.000938656
         369     2.07926      2.1116 0.000940216
         370     2.07884     2.11151 0.000941833
         371     2.07853     2.11142 0.000943479
         372     2.07833     2.11133 0.000945126
         373     2.07824     2.11124 0.000946745
         374     2.07827     2.11115  0.00094831
         375      2.0784     2.11107 0.000949794
         376     2.07864     2.11098 0.000951174
         377     2.07899     2.11089 0.000952428
         378     2.07945     2.11081 0.000953535
         379        2.08     2.11073 0.000954479
         380     2.08065     2.11065 0.000955244
         381      2.0814     2.11057 0.000955818
         382     2.08223      2.1105 0.000956191
         383     2.08315     2.11043 0.000956358
         384     2.08414     2.11036 0.000956314
         385     2.08522     2.11029 0.000956058
         386     2.08636     2.11023  0.00095559
         387     2.08756     2.11017 0.000954915
         388     2.08882     2.11012 0.000954038
         389     2.09014     2.11007 0.000952967
         390      2.0915     2.11002 0.000951713
         391      2.0929     2.10998 0.000950285
         392     2.09434     2.10994 0.000948698
         393     2.09581      2.1099 0.000946965
         394      2.0973     2.10987 0.000945102
         395     2.09881     2.10984 0.000943123
         396     2.10034     2.10982 0.000941046
         397     2.10188      2.1098 0.000938888
         398     2.10343     2.10978 0.000936665
         399     2.10498     2.10977 0.000934395
         400     2.10653     2.10976 0.000932094
         401     2.10807     2.10976 0.000929779
         402      2.1096     2.10976 0.000927467
         403     2.11112     2.10976 0.000925171
         404     2.11263     2.10977 0.000922909
         405     2.11412     2.10978 0.000920692
         406     2.11559     2.10979 0.000918536
         407     2.11704     2.10981 0.000916452
         408     2.11846     2.10983 0.000914451
         409     2.11986     2.10986 0.000912543
         410     2.12123     2.10988 0.000910739
         411     2.12257     2.10991 0.000909046
         412     2.12387     2.10995 0.000907471
         413     2.12515     2.10998  0.00090602
         414     2.12639     2.11002 0.000904698
         415      2.1276     2.11007 0.000903509
         416     2.12877     2.11011 0.000902455
         417     2.12991     2.11016 0.000901539
         418     2.13101     2.11021 0.000900761
         419     2.13207     2.11026 0.000900121
         420     2.13309     2.11032 0.000899618
         421     2.13407     2.11037 0.000899249
         422     2.13501     2.11043 0.000899012
         423     2.13591     2.11049 0.000898903
         424     2.13677     2.11055 0.000898917
         425     2.13759     2.11062  0.00089905
         426     2.13836     2.11068 0.000899295
         427     2.13909     2.11075 0.000899647
         428     2.13978     2.11082 0.000900097
         429     2.14042     2.11088  0.00090064
         430     2.14102     2.11095 0.000901268
         431     2.14157     2.11103 0.000901971
         432     2.14208      2.1111 0.000902743
         433     2.14254     2.11117 0.000903575
         434     2.14296     2.11124 0.000904458
         435     2.14334     2.11132 0.000905384
         436     2.14367     2.11139 0.000906343
         437     2.14396     2.11147 0.000907328
         438      2.1442     2.11154 0.000908331
         439     2.14441     2.11162 0.000909341
         440     2.14456     2.11169 0.000910353
         441     2.14468     2.11177 0.000911357
         442     2.14476     2.11184 0.000912347
         443     2.14479     2.11191 0.000913315
         444     2.14479     2.11199 0.000914254
         445     2.14474     2.11206 0.000915158
         446     2.14466     2.11213 0.000916021
         447     2.14454     2.11221 0.000916836
         448     2.14439     2.11228   0.0009176
         449      2.1442     2.11235 0.000918306
         450     2.14398     2.11242 0.000918952
         451     2.14373     2.11249 0.000919532
         452     2.14344     2.11256 0.000920043
         453     2.14313     2.11263 0.000920483
         454     2.14278     2.11269 0.000920849
         455     2.14241     2.11276 0.000921139
         456     2.14201     2.11282  0.00092135
         457     2.14159     2.11288 0.000921483
         458     2.14115     2.11295 0.000921534
         459     2.14068     2.11301 0.000921505
         460     2.14019     2.11307 0.000921395
         461     2.13968     2.11312 0.000921203
         462     2.13915     2.11318 0.000920931
         463     2.13861     2.11323 0.000920578
         464     2.13805     2.11329 0.000920145
         465     2.13747     2.11334 0.000919634
         466     2.13687     2.11339 0.000919047
         467     2.13627     2.11344 0.000918383
         468     2.13565     2.11349 0.000917646
         469     2.13502     2.11353 0.000916837
         470     2.13437     2.11358 0.000915958
         471     2.13372     2.11362 0.000915011
         472     2.13306     2.11366 0.000913999
         473     2.13239      2.1137 0.000912924
         474     2.13171     2.11374 0.000911789
         475     2.13103     2.11378 0.000910596
         476     2.13034     2.11381 0.000909347
         477     2.12965     2.11384 0.000908047
         478     2.12895     2.11388 0.000906697
         479     2.12825     2.11391 0.000905301
         480     2.12756     2.11393 0.000903862
         481     2.12686     2.11396 0.000902382
         482     2.12616     2.11399 0.000900865
         483     2.12547     2.11401 0.000899313
         484     2.12479     2.11403 0.000897731
         485     2.12411     2.11405  0.00089612
         486     2.12344     2.11407 0.000894484
         487     2.12278     2.11409 0.000892826
         488     2.12213     2.11411 0.000891149
         489      2.1215     2.11412 0.000889455
         490     2.12089     2.11414 0.000887747
         491     2.12029     2.11415 0.000886027
         492     2.11972     2.11416 0.000884299
         493     2.11917     2.11417 0.000882563
         494     2.11864     2.11418 0.000880823
         495     2.11814     2.11419  0.00087908
         496     2.11767     2.11419 0.000877336
         497     2.11723      2.1142 0.000875592
         498     2.11683      2.1142 0.000873849
         499     2.11646     2.11421  0.00087211
         500     2.11613     2.11421 0.000870374
         501     2.11583     2.11422 0.000868643
         502     2.11558     2.11422 0.000866917
         503     2.11537     2.11422 0.000865196
         504     2.11519     2.11422 0.000863482
         505     2.11507     2.11422 0.000861773
         506     2.11498     2.11423 0.000860072
         507     2.11495     2.11423 0.000858376
         508     2.11495     2.11423 0.000856688
         509       2.115     2.11423 0.000855006
         510      2.1151     2.11423 0.000853331
         511     2.11524     2.11423 0.000851664
         512     2.11543     2.11424 0.000850004
         513     2.11566     2.11424 0.000848351
         514     2.11594     2.11424 0.000846707
         515     2.11626     2.11425 0.000845072
         516     2.11662     2.11425 0.000843447
         517     2.11702     2.11426 0.000841832
         518     2.11746     2.11426  0.00084023
         519     2.11794     2.11427 0.000838641
         520     2.11846     2.11428 0.000837067
         521     2.11901     2.11429  0.00083551
         522      2.1196      2.1143 0.000833971
         523     2.12022     2.11431 0.000832453
         524     2.12087     2.11432 0.000830959
         525     2.12155     2.11433  0.00082949
         526     2.12225     2.11435  0.00082805
         527     2.12298     2.11437  0.00082664
         528     2.12373     2.11438 0.000825265
         529     2.12451      2.1144 0.000823927
         530      2.1253     2.11442 0.000822629
         531     2.12611     2.11445 0.000821374
         532     2.12693     2.11447 0.000820165
         533     2.12777     2.11449 0.000819006
         534     2.12862     2.11452 0.000817899
         535     2.12947     2.11455 0.000816847
         536     2.13033     2.11458 0.000815854
         537      2.1312     2.11461 0.000814922
         538     2.13207     2.11464 0.000814053
         539     2.13294     2.11468  0.00081325
         540      2.1338     2.11471 0.000812515
         541     2.13467     2.11475  0.00081185
         542     2.13552     2.11479 0.000811256
         543     2.13637     2.11483 0.000810736
         544     2.13721     2.11487 0.000810289
         545     2.13804     2.11491 0.000809917
         546     2.13886     2.11495 0.000809621
         547     2.13966       2.115   0.0008094
         548     2.14045     2.11505 0.000809254
         549     2.14122     2.11509 0.000809183
         550     2.14196     2.11514 0.000809185
         551     2.14269     2.11519  0.00080926
         552      2.1434     2.11524 0.000809406
         553     2.14408     2.11529  0.00080962
         554     2.14474     2.11535 0.000809902
         555     2.14538      2.1154 0.000810248
         556     2.14599     2.11546 0.000810656
         557     2.14657     2.11551 0.000811123
         558     2.14713     2.11557 0.000811646
         559     2.14766     2.11563 0.000812221
         560     2.14816     2.11569 0.000812845
         561     2.14863     2.11574 0.000813515
         562     2.14907      2.1158 0.000814226
         563     2.14949     2.11586 0.000814976
         564     2.14988     2.11592 0.000815759
         565     2.15024     2.11598 0.000816573
         566     2.15057     2.11605 0.000817414
         567     2.15087     2.11611 0.000818277
         568     2.15115     2.11617 0.000819159
         569      2.1514     2.11623 0.000820056
         570     2.15163     2.11629 0.000820966
         571     2.15183     2.11635 0.000821884
         572       2.152     2.11642 0.000822806
         573     2.15216     2.11648 0.000823731
         574     2.15229     2.11654 0.000824655
         575      2.1524      2.1166 0.000825575
         576     2.15249     2.11667 0.000826489
         577     2.15256     2.11673 0.000827394
         578     2.15261     2.11679 0.000828289
         579     2.15265     2.11685  0.00082917
         580     2.15267     2.11691 0.000830037
         581     2.15268     2.11698 0.000830888
         582     2.15268     2.11704 0.000831722
         583     2.15267      2.1171 0.000832538
         584     2.15265     2.11716 0.000833334
         585     2.15262     2.11722 0.000834111
         586     2.15259     2.11728 0.000834869
         587     2.15255     2.11734 0.000835606
         588     2.15251      2.1174 0.000836323
         589     2.15248     2.11746 0.000837021
         590     2.15244     2.11752 0.000837699
         591     2.15241     2.11758  0.00083836
         592     2.15239     2.11764 0.000839003
         593     2.15237      2.1177  0.00083963
         594     2.15236     2.11775 0.000840243
         595     2.15237     2.11781 0.000840842
         596     2.15238     2.11787  0.00084143
         597     2.15242     2.11793 0.000842008
         598     2.15247     2.11799 0.000842578
         599     2.15253     2.11804 0.000843143
         600     2.15262      2.1181 0.000843705
         601     2.15273     2.11816 0.000844266
         602     2.15286     2.11822  0.00084483
         603     2.15302     2.11827 0.000845397
         604      2.1532     2.11833 0.000845973
         605     2.15341     2.11839 0.000846559
         606     2.15364     2.11845 0.000847158
         607      2.1539     2.11851 0.000847773
         608     2.15419     2.11856 0.000848409
         609     2.15452     2.11862 0.000849067
         610     2.15487     2.11868 0.000849751
         611     2.15525     2.11874 0.000850465
         612     2.15566      2.1188 0.000851211
         613     2.15609     2.11886 0.000851994
         614     2.15656     2.11893 0.000852815
         615     2.15706     2.11899  0.00085368
         616     2.15758     2.11905  0.00085459
         617     2.15813     2.11911 0.000855549
         618      2.1587     2.11918 0.000856559
         619      2.1593     2.11924 0.000857624
         620     2.15992     2.11931 0.000858747
         621     2.16056     2.11937 0.000859929
         622     2.16121     2.11944 0.000861174
         623     2.16189     2.11951 0.000862482
         624     2.16257     2.11958 0.000863856
         625     2.16327     2.11965 0.000865298
         626     2.16397     2.11972 0.000866807
         627     2.16468     2.11979 0.000868385
         628     2.16539     2.11986 0.000870033
         629      2.1661     2.11994 0.000871749
         630      2.1668     2.12001 0.000873534
         631      2.1675     2.12009 0.000875386
         632     2.16819     2.12016 0.000877303
         633     2.16886     2.12024 0.000879284
         634     2.16952     2.12032 0.000881326
         635     2.17015      2.1204 0.000883426
         636     2.17077     2.12048  0.00088558
         637     2.17135     2.12056 0.000887783
         638      2.1719     2.12064 0.000890032
         639     2.17241     2.12072  0.00089232
         640     2.17289      2.1208 0.000894642
         641     2.17333     2.12088 0.000896991
         642     2.17372     2.12096 0.000899362
         643     2.17406     2.12105 0.000901745
         644     2.17434     2.12113 0.000904135
         645     2.17457     2.12121 0.000906522
         646     2.17475     2.12129 0.000908899
         647     2.17486     2.12138 0.000911257
         648      2.1749     2.12146 0.000913586
         649     2.17487     2.12154 0.000915879
         650     2.17478     2.12162 0.000918124
         651      2.1746      2.1217 0.000920314
         652     2.17435     2.12179 0.000922438
         653     2.17402     2.12187 0.000924488
         654     2.17361     2.12194 0.000926453
         655     2.17311     2.12202 0.000928326
         656     2.17252      2.1221 0.000930097
         657     2.17184     2.12218 0.000931757
         658     2.17107     2.12225 0.000933299
         659      2.1702     2.12232 0.000934715
         660     2.16924     2.12239 0.000935998
         661     2.16818     2.12246 0.000937142
         662     2.16702     2.12253 0.000938141
         663     2.16577      2.1226  0.00093899
         664     2.16442     2.12266 0.000939685
         665     2.16296     2.12272 0.000940225
         666     2.16142     2.12278 0.000940607
         667     2.15977     2.12283 0.000940831
         668     2.15803     2.12289 0.000940897
         669     2.15621     2.12293 0.000940808
         670     2.15429     2.12298 0.000940567
         671     2.15229     2.12303 0.000940179
         672     2.15021     2.12307  0.00093965
         673     2.14807      2.1231 0.000938987
         674     2.14585     2.12314 0.000938201
         675     2.14358     2.12317   0.0009373
         676     2.14126     2.12319 0.000936295
         677     2.13891     2.12322   0.0009352
         678     2.13652     2.12324 0.000934026
         679     2.13412     2.12325 0.000932788
         680     2.13172     2.12327   0.0009315
         681     2.12933     2.12327 0.000930174
         682     2.12696     2.12328 0.000928826
         683     2.12464     2.12328 0.000927468
         684     2.12237     2.12328 0.000926113
         685     2.12017     2.12328 0.000924773
         686     2.11806     2.12327 0.000923456
         687     2.11605     2.12326 0.000922172
         688     2.11416     2.12324 0.000920926
         689      2.1124     2.12323 0.000919724
         690     2.11079     2.12321 0.000918568
         691     2.10934     2.12319 0.000917457
         692     2.10807     2.12317 0.000916392
         693     2.10698     2.12315 0.000915367
         694     2.10608     2.12312 0.000914379
         695     2.10538      2.1231 0.000913419
         696     2.10488     2.12307 0.000912482
         697     2.10459     2.12304 0.000911558
         698     2.10451     2.12302 0.000910638
         699     2.10464     2.12299 0.000909715
         700     2.10496     2.12296  0.00090878
         701     2.10549     2.12294 0.000907825
         702      2.1062     2.12292 0.000906845
         703     2.10709     2.12289 0.000905834
         704     2.10816     2.12287 0.000904789
         705     2.10937     2.12285 0.000903709
         706     2.11073     2.12284 0.000902592
         707     2.11222     2.12282  0.00090144
         708     2.11382     2.12281 0.000900256
         709     2.11552      2.1228 0.000899045
         710      2.1173     2.12279 0.000897812
         711     2.11914     2.12278 0.000896564
         712     2.12104     2.12278 0.000895308
         713     2.12296     2.12278 0.000894052
         714      2.1249     2.12279 0.000892805
         715     2.12684     2.12279 0.000891574
         716     2.12878      2.1228 0.000890368
         717     2.13069     2.12281 0.000889195
         718     2.13256     2.12282  0.00088806
         719     2.13439     2.12284  0.00088697
         720     2.13615     2.12286 0.000885931
         721     2.13786     2.12288 0.000884947
         722     2.13948      2.1229  0.00088402
         723     2.14103     2.12293 0.000883152
         724     2.14248     2.12295 0.000882346
         725     2.14385     2.12298 0.000881599
         726     2.14511     2.12301 0.000880911
         727     2.14628     2.12305 0.000880281
         728     2.14734     2.12308 0.000879704
         729     2.14829     2.12311 0.000879177
         730     2.14914     2.12315 0.000878695
         731     2.14989     2.12319 0.000878254
         732     2.15053     2.12322 0.000877849
         733     2.15107     2.12326 0.000877473
         734     2.15151      2.1233 0.000877121
