#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       342                0.32            0.235205           0.0234345
       343                0.36            0.235569            0.023369
       344                0.48            0.236279           0.0233119
       345                 0.4            0.236754           0.0232491
       346                0.44            0.237341           0.0231893
       347                0.56            0.238271           0.0231411
       348                 0.6             0.23931            0.023098
       349                0.52            0.240115           0.0230458
       350                0.44            0.240686            0.022987
       351                0.36            0.241026           0.0229241
       352                 0.4            0.241477           0.0228634
       353                0.32              0.2417           0.0227997
       354                0.24            0.241695           0.0227353
       355                0.28            0.241803           0.0226715
       356                 0.4            0.242247           0.0226122
       357                0.48            0.242913           0.0225586
       358                 0.4            0.243352           0.0224999
       359                0.36            0.243677           0.0224396
       360                0.32            0.243889           0.0223782
       361                0.16            0.243657           0.0223174
       362               -0.04            0.242873           0.0222695
       363               -0.12            0.241873           0.0222306
       364               -0.24            0.240549           0.0222089
       365               -0.16            0.239452           0.0221752
       366                -0.2            0.238251           0.0221471
       367                0.04            0.237711           0.0220933
       368               -0.04            0.236957           0.0220462
       369               -0.16            0.235881           0.0220127
       370               -0.12            0.234919           0.0219742
       371                   0            0.234286           0.0219241
       372               -0.12            0.233333           0.0218858
       373                0.04            0.232815           0.0218333
       374                 0.2            0.232727           0.0217751
       375                0.32             0.23296           0.0217182
       376                0.16            0.232766           0.0216613
       377                0.08            0.232361           0.0216077
       378                0.04            0.231852           0.0215565
       379                0.04            0.231346           0.0215056
       380                0.08            0.230947           0.0214527
       381                 0.4            0.231391           0.0214009
       382                0.36            0.231728           0.0213476
       383                0.36            0.232063           0.0212945
       384                0.44            0.232604           0.0212459
       385                0.44            0.233143           0.0211975
       386                0.48            0.233782           0.0211523
       387                0.52            0.234522           0.0211105
       388                0.64            0.235567            0.021082
       389                0.52            0.236298           0.0210404
       390                0.28             0.23641           0.0209868
       391                0.36            0.236726           0.0209355
       392                0.36            0.237041           0.0208845
       393                0.56            0.237863           0.0208475
       394                 0.4            0.238274           0.0207986
       395                0.44            0.238785           0.0207522
       396                0.12            0.238485            0.020702
       397                0.08            0.238086           0.0206537
       398                0.08            0.237688           0.0206056
       399                0.16            0.237494           0.0205549
       400                   0              0.2369           0.0205121
       401                   0            0.236309           0.0204694
