#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         283     -0.7648   -0.777623  0.00581882
         284     -0.8456   -0.777862  0.00580326
         285     -0.8456     -0.7781  0.00578776
         286     -0.8456   -0.778336  0.00577233
         287     -0.8472   -0.778576   0.0057572
         288     -0.8472   -0.778814  0.00574214
         289     -0.8456   -0.779045  0.00572692
         290     -0.6864   -0.778726  0.00571608
         291      -0.684     -0.7784   0.0057057
         292      -0.684   -0.778077  0.00569531
         293     -0.7648   -0.778031  0.00567605
         294      -0.764   -0.777984  0.00565694
         295     -0.6832   -0.777662  0.00564689
         296     -0.6832   -0.777343  0.00563682
         297      -0.684   -0.777029  0.00562659
         298     -0.7632   -0.776983   0.0056079
         299     -0.7584    -0.77692  0.00558949
         300     -0.7592   -0.776861  0.00557117
         301     -0.7608   -0.776808  0.00555292
         302     -0.7616   -0.776758  0.00553476
         303        -0.6   -0.776174  0.00554715
         304     -0.6776    -0.77585  0.00553837
         305     -0.6768   -0.775525  0.00552973
         306     -0.6832   -0.775224  0.00551988
         307      -0.848   -0.775461  0.00550699
         308     -0.7664   -0.775431  0.00548919
         309     -0.8456   -0.775658  0.00547612
         310     -0.7648   -0.775623  0.00545857
         311       -0.68   -0.775316  0.00544967
         312     -0.7624   -0.775274  0.00543236
         313     -0.9208   -0.775739  0.00543486
         314     -0.8384   -0.775939  0.00542122
         315     -0.9168   -0.776386  0.00542242
         316     -0.9184   -0.776835  0.00542385
         317     -0.9208    -0.77729  0.00542572
         318     -0.8384   -0.777482  0.00541206
         319     -0.8392   -0.777675  0.00539855
         320     -0.9208   -0.778123  0.00540018
         321     -0.9232   -0.778574  0.00540223
         322       -0.92   -0.779014  0.00540328
         323     -0.8456    -0.77922  0.00539048
         324     -0.8488   -0.779435  0.00537812
         325     -0.7704   -0.779407  0.00536165
         326     -0.8552   -0.779639  0.00535024
         327     -0.8536   -0.779865  0.00533866
         328     -0.7736   -0.779846  0.00532241
         329     -0.6896   -0.779572   0.0053133
         330     -0.6904   -0.779302  0.00530407
         331     -0.8504   -0.779517  0.00529239
         332     -0.6872   -0.779239  0.00528375
         333     -0.6848   -0.778955  0.00527549
         334       -0.68   -0.778659    0.005268
         335       -0.68   -0.778364   0.0052605
         336      -0.764   -0.778321  0.00524502
         337        -0.6   -0.777792  0.00525608
         338     -0.5176   -0.777022   0.0052966
         339       -0.44   -0.776028  0.00537347
         340      -0.524   -0.775287  0.00540855
         341     -0.5248   -0.774552  0.00544235
         342     -0.7664   -0.774529  0.00542648
         343     -0.8472   -0.774741   0.0054148
         344     -0.8496   -0.774958  0.00540343
         345      -0.768   -0.774938   0.0053878
         346     -0.8488   -0.775151  0.00537646
         347     -0.7712    -0.77514  0.00536098
         348      -0.852   -0.775361  0.00535012
         349     -0.9304   -0.775805   0.0053532
         350     -0.9288   -0.776242  0.00535572
         351     -0.8472   -0.776444  0.00534428
         352      -0.928   -0.776875  0.00534641
         353     -0.8464   -0.777072  0.00533489
         354     -0.8448   -0.777263  0.00532325
         355     -0.7656    -0.77723  0.00530836
         356      -0.848   -0.777429  0.00529717
         357     -0.7696   -0.777407  0.00528238
         358      -0.768   -0.777381  0.00526769
         359     -0.7672   -0.777353  0.00525309
         360     -0.7664   -0.777322  0.00523859
         361     -0.7632   -0.777283  0.00522422
         362     -0.6792   -0.777012  0.00521681
         363     -0.7576   -0.776959  0.00520271
         364     -0.7552   -0.776899  0.00518876
         365     -0.6768   -0.776625  0.00518179
         366      -0.676    -0.77635  0.00517492
         367     -0.7608   -0.776307  0.00516099
         368     -0.7592   -0.776261  0.00514718
         369     -0.8368   -0.776425  0.00513584
         370     -0.8376    -0.77659  0.00512462
         371       -0.84   -0.776761  0.00511366
         372     -0.7576    -0.77671  0.00510017
         373     -0.7608   -0.776667  0.00508668
         374      -0.764   -0.776633  0.00507319
         375     -0.7664   -0.776606  0.00505973
         376     -0.7632    -0.77657   0.0050464
         377     -0.7616   -0.776531  0.00503317
         378     -0.6008   -0.776066  0.00504128
         379     -0.6808   -0.775814  0.00503424
         380     -0.7616   -0.775777  0.00502114
         381      -0.768   -0.775756    0.005008
         382     -0.7672   -0.775734  0.00499494
         383     -0.7672   -0.775712  0.00498195
         384     -0.6888   -0.775485  0.00497411
         385     -0.6888    -0.77526  0.00496628
         386     -0.7696   -0.775246  0.00495344
         387     -0.6904   -0.775026  0.00494549
         388     -0.7728   -0.775021  0.00493275
         389     -0.8504   -0.775214  0.00492387
         390     -0.7656    -0.77519  0.00491131
         391     -0.7672   -0.775169  0.00489879
         392     -0.7672   -0.775149  0.00488633
         393     -0.8512   -0.775342  0.00487773
         394      -0.848   -0.775527  0.00486884
         395     -0.7688    -0.77551  0.00485654
         396     -0.7624   -0.775477  0.00484439
         397     -0.7616   -0.775442  0.00483231
         398     -0.7616   -0.775407   0.0048203
         399     -0.7632   -0.775376  0.00480831
         400       -0.84   -0.775538    0.004799
         401       -0.84   -0.775699  0.00478973
         402      -0.844   -0.775869  0.00478083
         403     -0.8432   -0.776036  0.00477188
         404     -0.8416   -0.776198  0.00476283
         405     -0.7648    -0.77617  0.00475115
         406      -0.764    -0.77614  0.00473954
         407     -0.7648   -0.776112  0.00472798
         408     -0.7704   -0.776098  0.00471641
         409      -0.764   -0.776068  0.00470497
         410     -0.7656   -0.776043  0.00469357
         411     -0.7656   -0.776018  0.00468222
         412     -0.6872   -0.775802  0.00467581
         413     -0.8488   -0.775979  0.00466783
         414     -0.7704   -0.775965  0.00465658
         415     -0.7688   -0.775948  0.00464539
         416      -0.768   -0.775929  0.00463426
         417     -0.8456   -0.776096  0.00462616
         418     -0.8504   -0.776274   0.0046185
         419      -0.852   -0.776454  0.00461102
         420      -0.852   -0.776634  0.00460354
         421     -0.8536   -0.776817  0.00459624
         422      -0.852   -0.776995   0.0045888
         423     -0.8528   -0.777174  0.00458145
         424     -0.8536   -0.777355  0.00457419
         425     -0.8568   -0.777542  0.00456724
         426      -0.772   -0.777529  0.00455654
         427     -0.7752   -0.777523  0.00454587
         428     -0.8568   -0.777708  0.00453902
         429     -0.9376   -0.778081  0.00454372
         430     -0.9368    -0.77845  0.00454812
         431       -1.02   -0.779011  0.00457197
         432       -1.02   -0.779569  0.00459529
         433     -0.9384   -0.779935  0.00459929
         434       -1.02   -0.780488  0.00462184
         435     -0.9392   -0.780853  0.00462559
         436     -0.9352   -0.781207  0.00462851
         437      -0.936   -0.781562  0.00463145
         438      -0.856   -0.781732    0.004624
         439     -0.6936   -0.781531  0.00461782
         440     -0.7712   -0.781507  0.00460738
         441     -0.6056   -0.781108  0.00461417
         442     -0.6088   -0.780719  0.00462017
         443      -0.608   -0.780329  0.00462616
         444     -0.6872   -0.780119   0.0046205
