#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
      11       4            1.8       0.323148       0.356334      0.0154001
      11       5            2.2       0.316667        0.40987      0.0234052
      11       6            2.6       0.432639       0.437226      0.0111608
      11       7              3       0.252546       0.324832      0.0131605
      11       8            3.4       0.264352        0.18771       0.022761
      11       9            3.8      0.0710648        0.10787      0.0113309
      11      10            4.2      0.0231481      0.0451599     0.00777882
      11      11            4.6              0      0.0142045     0.00387209
      11      12              5              0     0.00284091     0.00153781
      11      13            5.4      0.0231481     0.00572391     0.00249953
      11      14            5.8              0     0.00808081     0.00271039
      11      15            6.2              0     0.00542929     0.00236784
      11      16            6.6              0     0.00199916     0.00190612
      11      17              7              0              0              0
      11      18            7.4              0              0              0
      11      19            7.8              0              0              0
      12       0            0.2      0.0363426      0.0191165     0.00466147
      12       1            0.6       0.128472      0.0763503     0.00969589
      12       2              1       0.272222       0.215914      0.0148327
      12       3            1.4        0.39213       0.301042      0.0220907
      12       4            1.8       0.320139       0.353318      0.0144091
      12       5            2.2       0.390509       0.408256      0.0215103
      12       6            2.6       0.429861       0.436613      0.0102476
      12       7              3       0.234491       0.317303       0.014053
      12       8            3.4       0.206019       0.189236      0.0209153
      12       9            3.8      0.0335648       0.101678      0.0119595
      12      10            4.2      0.0331019      0.0441551      0.0071952
      12      11            4.6              0      0.0130208     0.00372595
      12      12              5              0     0.00260417     0.00142776
      12      13            5.4      0.0231481     0.00717593     0.00268001
      12      14            5.8              0     0.00740741     0.00256682
      12      15            6.2              0     0.00497685     0.00221333
      12      16            6.6              0     0.00183256     0.00175454
      12      17              7              0              0              0
      12      18            7.4              0              0              0
      12      19            7.8              0              0              0
      13       0            0.2     0.00347222      0.0179131     0.00445552
      13       1            0.6       0.141898      0.0813925       0.010177
      13       2              1       0.265278       0.219712      0.0141694
      13       3            1.4       0.315972        0.30219      0.0204213
      13       4            1.8       0.467361        0.36209      0.0157463
      13       5            2.2       0.379167       0.406019      0.0199717
      13       6            2.6       0.438657        0.43677     0.00946054
      13       7              3       0.220833       0.309882      0.0148022
      13       8            3.4        0.12662        0.18442      0.0198533
      13       9            3.8      0.0712963      0.0993412      0.0112656
      13      10            4.2      0.0296296      0.0430377     0.00672792
      13      11            4.6      0.0166667      0.0133013     0.00344988
      13      12              5              0     0.00240385     0.00133191
      13      13            5.4      0.0231481     0.00840456     0.00274105
      13      14            5.8              0     0.00683761     0.00243179
      13      15            6.2              0     0.00459402     0.00207592
      13      16            6.6              0      0.0016916     0.00162523
      13      17              7              0              0              0
      13      18            7.4              0              0              0
      13      19            7.8              0              0              0
      14       0            0.2      0.0157407      0.0177579     0.00413997
      14       1            0.6       0.137731      0.0854167      0.0102147
      14       2              1       0.201389       0.218403      0.0132176
      14       3            1.4       0.361574       0.306432      0.0193981
      14       4            1.8       0.441204       0.367741      0.0156027
      14       5            2.2       0.467824       0.410433      0.0190268
      14       6            2.6       0.411574        0.43497     0.00895433
      14       7              3       0.188657       0.301224      0.0160793
      14       8            3.4       0.160417       0.182705      0.0185091
      14       9            3.8      0.0664352      0.0969907      0.0107033
      14      10            4.2      0.0243056      0.0416997     0.00637901
